Time Stamp,CAPITL,CENTRL,DUNWOD,GENESE,H Q,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,NPX,O H,PJM,WEST
2024-06-01 00:00:00,21.85,21.03,22.18,20.61,21.03,21.93,22.54,21.32,22.04,22.21,18.44,21.68,20.4,21.26,20.73
2024-06-01 01:00:00,20.46,19.52,20.66,19.11,19.62,20.46,20.88,19.87,20.56,20.66,17.38,20.32,18.89,19.74,19.19
2024-06-01 02:00:00,18.14,17.39,18.31,17.11,17.44,18.14,18.54,17.69,18.23,18.35,15.61,18.02,16.92,17.58,17.18
2024-06-01 03:00:00,17.56,16.84,17.71,16.58,16.87,17.56,17.92,17.06,17.63,17.75,14.61,17.48,16.42,17.04,16.69
2024-06-01 04:00:00,17.97,17.26,18.13,17.0,17.28,17.97,18.3,17.47,18.06,18.14,14.91,17.9,16.85,17.47,17.12
2024-06-01 05:00:00,18.88,18.23,19.08,18.01,17.99,18.93,19.48,18.62,19.02,19.08,18.01,18.75,17.9,18.48,18.21
2024-06-01 06:00:00,19.41,18.78,19.7,18.52,18.61,19.51,19.98,19.25,19.62,19.66,18.8,19.32,18.37,19.04,18.67
2024-06-01 07:00:00,18.82,18.4,19.26,18.22,18.18,19.0,19.57,18.76,19.15,19.22,18.38,18.78,18.03,18.64,18.38
2024-06-01 08:00:00,19.07,18.48,19.52,18.19,18.34,19.26,19.85,18.91,19.43,19.5,18.54,19.02,18.02,18.76,18.36
2024-06-01 09:00:00,18.2,17.62,18.76,17.23,17.51,18.45,19.1,18.04,18.64,18.76,17.69,18.16,17.07,17.92,17.39
2024-06-01 10:00:00,17.79,17.4,18.62,17.09,17.27,18.26,19.02,17.75,18.48,18.65,17.4,17.89,17.02,17.82,17.37
2024-06-01 11:00:00,17.96,17.5,18.79,17.22,17.4,18.41,22.49,17.89,18.65,18.88,17.53,18.03,17.15,17.96,17.48
2024-06-01 12:00:00,18.38,17.88,19.26,17.59,17.79,18.86,21.26,18.29,19.09,19.33,17.93,18.43,17.5,18.36,17.86
2024-06-01 13:00:00,18.75,18.39,19.78,18.17,18.26,19.4,23.73,18.79,19.62,19.91,18.41,18.9,18.02,18.9,18.41
2024-06-01 14:00:00,19.96,19.56,21.03,19.32,19.38,20.64,25.8,19.97,20.88,21.15,19.48,20.03,19.15,20.07,19.54
2024-06-01 15:00:00,20.37,19.81,21.56,19.62,19.68,21.14,26.67,20.33,21.4,21.7,19.83,20.01,19.38,20.47,19.81
2024-06-01 16:00:00,22.94,22.18,24.41,21.87,22.14,23.91,28.64,22.92,24.22,24.55,22.38,21.6,21.49,22.95,21.96
