"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"03/05/2025 00:05:00","CAPITL",61757,49.39,2.62,0.00
"03/05/2025 00:05:00","CENTRL",61754,45.41,-1.36,0.00
"03/05/2025 00:05:00","DUNWOD",61760,48.36,1.59,0.00
"03/05/2025 00:05:00","GENESE",61753,44.34,-2.43,0.00
"03/05/2025 00:05:00","H Q",61844,47.28,0.52,0.00
"03/05/2025 00:05:00","HUD VL",61758,48.27,1.50,0.00
"03/05/2025 00:05:00","LONGIL",61762,48.78,2.01,0.00
"03/05/2025 00:05:00","MHK VL",61756,48.22,1.45,0.00
"03/05/2025 00:05:00","MILLWD",61759,48.27,1.50,0.00
"03/05/2025 00:05:00","N.Y.C.",61761,49.88,1.68,-1.43
"03/05/2025 00:05:00","NORTH",61755,48.64,1.87,0.00
"03/05/2025 00:05:00","NPX",61845,64.76,1.54,-16.45
"03/05/2025 00:05:00","O H",61846,42.94,-3.83,0.00
"03/05/2025 00:05:00","PJM",61847,45.74,-1.03,0.00
"03/05/2025 00:05:00","WEST",61752,43.82,-2.94,0.00
"03/05/2025 00:10:00","CAPITL",61757,49.48,2.67,0.00
"03/05/2025 00:10:00","CENTRL",61754,45.60,-1.22,0.00
"03/05/2025 00:10:00","DUNWOD",61760,48.41,1.59,0.00
"03/05/2025 00:10:00","GENESE",61753,44.47,-2.34,0.00
"03/05/2025 00:10:00","H Q",61844,47.28,0.47,0.00
"03/05/2025 00:10:00","HUD VL",61758,48.31,1.50,0.00
"03/05/2025 00:10:00","LONGIL",61762,48.82,2.01,0.00
"03/05/2025 00:10:00","MHK VL",61756,48.31,1.50,0.00
"03/05/2025 00:10:00","MILLWD",61759,48.31,1.50,0.00
"03/05/2025 00:10:00","N.Y.C.",61761,49.86,1.64,-1.41
"03/05/2025 00:10:00","NORTH",61755,48.55,1.73,0.00
"03/05/2025 00:10:00","NPX",61845,64.76,1.50,-16.45
"03/05/2025 00:10:00","O H",61846,43.16,-3.65,0.00
"03/05/2025 00:10:00","PJM",61847,45.88,-0.94,0.00
"03/05/2025 00:10:00","WEST",61752,44.10,-2.72,0.00
"03/05/2025 00:15:00","CAPITL",61757,52.18,2.81,0.00
"03/05/2025 00:15:00","CENTRL",61754,48.13,-1.23,0.00
"03/05/2025 00:15:00","DUNWOD",61760,50.99,1.63,0.00
