RTC End Time Stamp,Zone Name,Zone PTID,RTC Zonal LBMP,RTC Zonal Losses,RTC Zonal Congestion,RTC Zonal Price Version
3/1/2024 0:15,CAPITL,61757,30,1.01,0,1
3/1/2024 0:15,CENTRL,61754,28.52,-0.46,0,1
3/1/2024 0:15,DUNWOD,61760,30.49,1.51,0,1
3/1/2024 0:15,GENESE,61753,27.33,-1.65,0,1
3/1/2024 0:15,HUD VL,61758,30.37,1.39,0,1
3/1/2024 0:15,LONGIL,61762,30.86,1.88,0,1
3/1/2024 0:15,MHK VL,61756,29.82,0.84,0,1
3/1/2024 0:15,MILLWD,61759,30.43,1.45,0,1
3/1/2024 0:15,N.Y.C.,61761,30.49,1.51,0,1
3/1/2024 0:15,NORTH,61755,29.59,0.61,0,1
3/1/2024 0:15,WEST,61752,26.92,-2.06,0,1
3/1/2024 0:30,CAPITL,61757,28.31,0.96,0,1
3/1/2024 0:30,CENTRL,61754,27.03,-0.33,0,1
3/1/2024 0:30,DUNWOD,61760,28.72,1.37,0,1
3/1/2024 0:30,GENESE,61753,26.01,-1.34,0,1
3/1/2024 0:30,HUD VL,61758,28.64,1.29,0,1
3/1/2024 0:30,LONGIL,61762,29.05,1.7,0,1
3/1/2024 0:30,MHK VL,61756,28.17,0.82,0,1
3/1/2024 0:30,MILLWD,61759,28.69,1.34,0,1
3/1/2024 0:30,N.Y.C.,61761,28.75,1.39,0,1
3/1/2024 0:30,NORTH,61755,27.93,0.58,0,1
3/1/2024 0:30,WEST,61752,25.79,-1.56,0,1
3/1/2024 0:45,CAPITL,61757,27.73,1.01,0,1
3/1/2024 0:45,CENTRL,61754,26.26,-0.45,0,1
3/1/2024 0:45,DUNWOD,61760,28.08,1.36,0,1
3/1/2024 0:45,GENESE,61753,25.46,-1.26,0,1
3/1/2024 0:45,HUD VL,61758,27.97,1.26,0,1
3/1/2024 0:45,LONGIL,61762,28.37,1.66,0,1
3/1/2024 0:45,MHK VL,61756,27.46,0.75,0,1
3/1/2024 0:45,MILLWD,61759,28.02,1.31,0,1
3/1/2024 0:45,N.Y.C.,61761,28.08,1.36,0,1
3/1/2024 0:45,NORTH,61755,27.22,0.51,0,1
3/1/2024 0:45,WEST,61752,25.25,-1.47,0,1
3/1/2024 1:00,CAPITL,61757,31.13,0.97,0,1
3/1/2024 1:00,CENTRL,61754,29.44,-0.72,0,1
3/1/2024 1:00,DUNWOD,61760,31.49,1.33,0,1
3/1/2024 1:00,GENESE,61753,28.24,-1.93,0,1
3/1/2024 1:00,HUD VL,61758,31.38,1.21,0,1
3/1/2024 1:00,LONGIL,61762,31.8,1.63,0,1
3/1/2024 1:00,MHK VL,61756,30.95,0.78,0,1
3/1/2024 1:00,MILLWD,61759,31.43,1.27,0,1
3/1/2024 1:00,N.Y.C.,61761,31.46,1.3,0,1
3/1/2024 1:00,NORTH,61755,31.13,0.97,0,1
3/1/2024 1:00,WEST,61752,27.78,-2.38,0,1
3/1/2024 1:15,CAPITL,61757,30.34,0.88,0,1
3/1/2024 1:15,CENTRL,61754,28.87,-0.59,0,1
3/1/2024 1:15,DUNWOD,61760,30.75,1.29,0,1
3/1/2024 1:15,GENESE,61753,27.75,-1.71,0,1
3/1/2024 1:15,HUD VL,61758,30.66,1.21,0,1
3/1/2024 1:15,LONGIL,61762,31.01,1.56,0,1
3/1/2024 1:15,MHK VL,61756,30.28,0.82,0,1
3/1/2024 1:15,MILLWD,61759,30.69,1.24,0,1
3/1/2024 1:15,N.Y.C.,61761,30.75,1.29,0,1
3/1/2024 1:15,NORTH,61755,30.4,0.94,0,1
3/1/2024 1:15,WEST,61752,27.42,-2.03,0,1
3/1/2024 1:30,CAPITL,61757,28.03,0.76,0,1
3/1/2024 1:30,CENTRL,61754,26.97,-0.3,0,1
3/1/2024 1:30,DUNWOD,61760,28.36,1.09,0,1
3/1/2024 1:30,GENESE,61753,26.04,-1.23,0,1
3/1/2024 1:30,HUD VL,61758,28.28,1.01,0,1
3/1/2024 1:30,LONGIL,61762,28.6,1.34,0,1
3/1/2024 1:30,MHK VL,61756,28.08,0.82,0,1
3/1/2024 1:30,MILLWD,61759,28.33,1.06,0,1
3/1/2024 1:30,N.Y.C.,61761,28.36,1.09,0,1
3/1/2024 1:30,NORTH,61755,28.08,0.82,0,1
3/1/2024 1:30,WEST,61752,25.93,-1.34,0,1
3/1/2024 1:45,CAPITL,61757,30.55,0.95,0,1
3/1/2024 1:45,CENTRL,61754,29.19,-0.41,0,1
3/1/2024 1:45,DUNWOD,61760,30.88,1.27,0,1
3/1/2024 1:45,GENESE,61753,28.1,-1.51,0,1
3/1/2024 1:45,HUD VL,61758,30.82,1.21,0,1
3/1/2024 1:45,LONGIL,61762,31.14,1.54,0,1
3/1/2024 1:45,MHK VL,61756,30.52,0.92,0,1
3/1/2024 1:45,MILLWD,61759,30.85,1.24,0,1
3/1/2024 1:45,N.Y.C.,61761,30.91,1.3,0,1
3/1/2024 1:45,NORTH,61755,30.31,0.71,0,1
3/1/2024 1:45,WEST,61752,27.8,-1.81,0,1
3/1/2024 2:00,CAPITL,61757,34.66,1.17,0,1
3/1/2024 2:00,CENTRL,61754,32.75,-0.74,0,1
3/1/2024 2:00,DUNWOD,61760,35.06,1.57,0,1
3/1/2024 2:00,GENESE,61753,31.38,-2.11,0,1
3/1/2024 2:00,HUD VL,61758,34.96,1.47,0,1
3/1/2024 2:00,LONGIL,61762,35.22,1.74,0,1
3/1/2024 2:00,MHK VL,61756,34.49,1,0,1
3/1/2024 2:00,MILLWD,61759,34.99,1.51,0,1
3/1/2024 2:00,N.Y.C.,61761,35.06,1.57,0,1
3/1/2024 2:00,NORTH,61755,34.25,0.77,0,1
3/1/2024 2:00,WEST,61752,30.87,-2.61,0,1
3/1/2024 2:15,CAPITL,61757,34.42,1.16,0,1
3/1/2024 2:15,CENTRL,61754,32.63,-0.63,0,1
3/1/2024 2:15,DUNWOD,61760,34.65,1.4,0,1
3/1/2024 2:15,GENESE,61753,31.3,-1.96,0,1
