"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/26/2025 00:00","CAPITL",61757,45.42,2.02,0.00
"02/26/2025 00:00","CENTRL",61754,42.45,-0.95,0.00
"02/26/2025 00:00","DUNWOD",61760,45.09,1.70,0.00
"02/26/2025 00:00","GENESE",61753,40.84,-2.55,0.00
"02/26/2025 00:00","H Q",61844,44.11,0.72,0.00
"02/26/2025 00:00","HUD VL",61758,44.86,1.47,0.00
"02/26/2025 00:00","LONGIL",61762,45.47,2.08,0.00
"02/26/2025 00:00","MHK VL",61756,44.49,1.09,0.00
"02/26/2025 00:00","MILLWD",61759,44.93,1.53,0.00
"02/26/2025 00:00","N.Y.C.",61761,47.33,1.76,-2.18
"02/26/2025 00:00","NORTH",61755,45.08,1.68,0.00
"02/26/2025 00:00","NPX",61845,44.75,1.36,0.00
"02/26/2025 00:00","O H",61846,39.29,-4.10,0.00
"02/26/2025 00:00","PJM",61847,42.47,-0.92,0.00
"02/26/2025 00:00","WEST",61752,40.46,-2.93,0.00
"02/26/2025 01:00","CAPITL",61757,42.69,1.93,0.00
"02/26/2025 01:00","CENTRL",61754,39.87,-0.89,0.00
"02/26/2025 01:00","DUNWOD",61760,42.42,1.67,0.00
"02/26/2025 01:00","GENESE",61753,38.35,-2.41,0.00
"02/26/2025 01:00","H Q",61844,41.40,0.64,0.00
"02/26/2025 01:00","HUD VL",61758,42.20,1.44,0.00
"02/26/2025 01:00","LONGIL",61762,42.86,2.10,0.00
"02/26/2025 01:00","MHK VL",61756,41.71,0.95,0.00
"02/26/2025 01:00","MILLWD",61759,42.27,1.51,0.00
"02/26/2025 01:00","N.Y.C.",61761,44.98,1.73,-2.49
"02/26/2025 01:00","NORTH",61755,42.32,1.56,0.00
"02/26/2025 01:00","NPX",61845,42.13,1.37,0.00
"02/26/2025 01:00","O H",61846,36.90,-3.86,0.00
"02/26/2025 01:00","PJM",61847,39.94,-0.82,0.00
"02/26/2025 01:00","WEST",61752,38.02,-2.73,0.00
"02/26/2025 02:00","CAPITL",61757,41.40,1.82,0.00
"02/26/2025 02:00","CENTRL",61754,38.81,-0.76,0.00
"02/26/2025 02:00","DUNWOD",61760,41.21,1.64,0.00
"02/26/2025 02:00","GENESE",61753,37.35,-2.23,0.00
"02/26/2025 02:00","H Q",61844,40.15,0.57,0.00
"02/26/2025 02:00","HUD VL",61758,41.01,1.43,0.00
"02/26/2025 02:00","LONGIL",61762,41.47,1.89,0.00
"02/26/2025 02:00","MHK VL",61756,40.48,0.90,0.00
"02/26/2025 02:00","MILLWD",61759,41.07,1.49,0.00
"02/26/2025 02:00","N.Y.C.",61761,43.86,1.76,-2.51
"02/26/2025 02:00","NORTH",61755,40.99,1.41,0.00
"02/26/2025 02:00","NPX",61845,40.89,1.31,0.00
"02/26/2025 02:00","O H",61846,36.02,-3.56,0.00
"02/26/2025 02:00","PJM",61847,38.92,-0.66,0.00
"02/26/2025 02:00","WEST",61752,37.10,-2.48,0.00
"02/26/2025 03:00","CAPITL",61757,43.42,1.86,0.00
"02/26/2025 03:00","CENTRL",61754,40.77,-0.79,0.00
"02/26/2025 03:00","DUNWOD",61760,43.30,1.74,0.00
"02/26/2025 03:00","GENESE",61753,39.17,-2.39,0.00
"02/26/2025 03:00","H Q",61844,42.17,0.61,0.00
"02/26/2025 03:00","HUD VL",61758,43.08,1.51,0.00
"02/26/2025 03:00","LONGIL",61762,43.66,2.09,0.00
"02/26/2025 03:00","MHK VL",61756,42.59,1.03,0.00
"02/26/2025 03:00","MILLWD",61759,43.15,1.59,0.00
"02/26/2025 03:00","N.Y.C.",61761,45.62,1.87,-2.18
"02/26/2025 03:00","NORTH",61755,43.03,1.46,0.00
"02/26/2025 03:00","NPX",61845,42.93,1.37,0.00
"02/26/2025 03:00","O H",61846,37.73,-3.83,0.00
"02/26/2025 03:00","PJM",61847,40.88,-0.68,0.00
"02/26/2025 03:00","WEST",61752,38.93,-2.64,0.00
"02/26/2025 04:00","CAPITL",61757,45.60,1.84,0.00
"02/26/2025 04:00","CENTRL",61754,42.88,-0.89,0.00
"02/26/2025 04:00","DUNWOD",61760,45.62,1.85,0.00
"02/26/2025 04:00","GENESE",61753,41.21,-2.56,0.00
"02/26/2025 04:00","H Q",61844,44.41,0.64,0.00
"02/26/2025 04:00","HUD VL",61758,45.38,1.61,0.00
"02/26/2025 04:00","LONGIL",61762,46.20,2.43,0.00
"02/26/2025 04:00","MHK VL",61756,44.86,1.09,0.00
"02/26/2025 04:00","MILLWD",61759,45.47,1.70,0.00
"02/26/2025 04:00","N.Y.C.",61761,47.64,2.00,-1.88
"02/26/2025 04:00","NORTH",61755,45.33,1.56,0.00
"02/26/2025 04:00","NPX",61845,45.08,1.43,0.12
"02/26/2025 04:00","O H",61846,39.60,-4.17,0.00
"02/26/2025 04:00","PJM",61847,42.98,-0.79,0.00
"02/26/2025 04:00","WEST",61752,40.89,-2.88,0.00
"02/26/2025 05:00","CAPITL",61757,59.62,2.38,0.00
"02/26/2025 05:00","CENTRL",61754,56.23,-1.02,0.00
"02/26/2025 05:00","DUNWOD",61760,59.60,2.35,0.00
"02/26/2025 05:00","GENESE",61753,54.18,-3.08,0.00
"02/26/2025 05:00","H Q",61844,58.07,0.82,0.00
"02/26/2025 05:00","HUD VL",61758,59.29,2.04,0.00
"02/26/2025 05:00","LONGIL",61762,60.18,2.93,0.00
"02/26/2025 05:00","MHK VL",61756,58.63,1.38,0.00
"02/26/2025 05:00","MILLWD",61759,59.42,2.17,0.00
"02/26/2025 05:00","N.Y.C.",61761,59.97,2.53,-0.19
"02/26/2025 05:00","NORTH",61755,59.16,1.91,0.00
"02/26/2025 05:00","NPX",61845,59.39,1.84,-0.30
"02/26/2025 05:00","O H",61846,52.03,-5.22,0.00
"02/26/2025 05:00","PJM",61847,56.18,-1.07,0.00
"02/26/2025 05:00","WEST",61752,53.76,-3.49,0.00
"02/26/2025 06:00","CAPITL",61757,121.58,4.95,0.00
"02/26/2025 06:00","CENTRL",61754,114.87,-1.76,0.00
"02/26/2025 06:00","DUNWOD",61760,121.75,5.12,0.00
"02/26/2025 06:00","GENESE",61753,109.61,-7.02,0.00
"02/26/2025 06:00","H Q",61844,118.14,1.51,0.00
"02/26/2025 06:00","HUD VL",61758,121.14,4.51,0.00
"02/26/2025 06:00","LONGIL",61762,122.52,5.88,0.00
"02/26/2025 06:00","MHK VL",61756,120.19,3.56,0.00
"02/26/2025 06:00","MILLWD",61759,121.35,4.72,0.00
"02/26/2025 06:00","N.Y.C.",61761,122.05,5.41,0.00
"02/26/2025 06:00","NORTH",61755,120.14,3.51,0.00
"02/26/2025 06:00","NPX",61845,120.36,3.72,0.00
"02/26/2025 06:00","O H",61846,104.04,-12.59,0.00
"02/26/2025 06:00","PJM",61847,114.21,-2.42,0.00
"02/26/2025 06:00","WEST",61752,107.94,-8.69,0.00
"02/26/2025 07:00","CAPITL",61757,82.84,3.38,0.00
"02/26/2025 07:00","CENTRL",61754,78.28,-1.18,0.00
"02/26/2025 07:00","DUNWOD",61760,83.37,3.91,0.00
"02/26/2025 07:00","GENESE",61753,74.64,-4.82,0.00
"02/26/2025 07:00","H Q",61844,80.40,0.94,0.00
